"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"C1";"0.33μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C2";"0.1μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C3";"470 pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C4";"470 pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C5";"0.01 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C6";"1.0 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C7";"0.01 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C8";"1.0 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C9";"0.01 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C10";"0.01 μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C11";"0.33 μF";"CAP_POLPTH2";"CPOL-RADIAL-10UF-25V";"Capacitor Polarized";"";
"C12";"330 pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C14";"0.1μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C15";"0.1μF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"D1";"1N4001";"DIODEPTH";"DIODE-1N4001";"Diode";"";
"D2";"1N4001";"DIODEPTH";"DIODE-1N4001";"Diode";"";
"IC1";"LM7809";"V_REG_78XXSINK";"TO220-IGO";"Voltage Regulator";"";
"IC2";"LM1815";"DIL14S";"SOCKET-14";"Dual In Line / Socket";"";
"JP1";"";"M07LOCK_LONGPADS";"1X07_LOCK_LONGPADS";"Header 7";"";
"JP2";"";"M07LOCK_LONGPADS";"1X07_LOCK_LONGPADS";"Header 7";"";
"JP3";"EGT";"M06SIP_LOCK";"1X06-SIP_LOCK";"Header 6";"";
"PS1";"MPX4250DP";"MPX****-867C-H";"867C-H";"Generic MPX pressure sensor";"";
"PS2";"MPX5500DP";"MPX****-867C-H";"867C-H";"Generic MPX pressure sensor";"";
"Q1";"MOSFET-NCHANNELFQP30N06L";"MOSFET-NCHANNELFQP30N06L";"TO220V";"Common NMOSFET Parts";"TRANS-10060";
"Q2";"MOSFET-NCHANNELFQP30N06L";"MOSFET-NCHANNELFQP30N06L";"TO220V";"Common NMOSFET Parts";"TRANS-10060";
"R1";"82K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R2";"1K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R3";"4.7K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R4";"18K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R5";"1M";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R6";"100";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R7";"100";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R8";"10K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R9";"10K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"U$1";"ARDUINO_R3_SHIELD";"ARDUINO_R3_SHIELD";"UNO_R3_SHIELD";"Shield form compatible with the Arduino Uno R3.";"";
